2804,1,2804,,12210326,,2806,2806,,35006600,,
4668,1,4668,,12010821,,18912,4672,,15810275,,
4738,1,4738,,12210124,,15248,15248,,64357620.36801411,15429252.843779437,
4745,1,4745,,42010564,,21137,21137,,34511450,,
4778,1,4778,,50010411,,4782,4782,,71833425,,
4782,1,4782,,50010411,,4783,4783,,59077575,,
8243,1,8243,,17010001,,8248,8248,,26463000,,
8248,1,8248,,17010001,,8256,8256,,52257100,,
8256,1,8256,,17010001,,8260,8260,,54132550,,
8260,1,8260,,17010001,,8264,8264,,30398275,,
8264,1,8264,,17010001,,1000301,1000301,,34524575,,
8271,1,8271,,17010001,,8274,8274,,18684000,,
8274,1,8274,,17010001,,1000046,1000046,,40229877.93195989,,
8282,1,8282,,12210332,,8284,8284,,36358425,,
2806,2,2806,,12210326,12250108,2807,2807,,2705450,,
2807,2,2807,,12210326,12250108,2810,2810,,531875,,
2917,1,2917,,11010630,,19791,19791,,3857775,,
2923,1,2923,,11010630,,2917,2917,,32022875,,
2981,1,2981,,30011181,,2983,2983,,46453400,,
2983,1,2983,,30011181,,2992,2985,,45499225,,
2992,1,2992,,30011181,,21422,21422,,64543875,,
3000,1,3000,,12211010,,3005,3005,,61745225,,
3005,1,3005,,12211010,,3007,3007,,39918525,,
3007,1,3007,,12211010,,3008,3008,,14923650,,
3008,2,3008,,12211010,12250281,3011,3011,,8428650,,
3011,1,3011,,12211010,,20661,20661,,5337300,,
3041,1,3041,,13010280,,16097,16097,,59972600,,
3112,1,3112,,16010861,,3119,3119,,72204850,,
3119,1,3119,,16010861,,20302,20302,,66409000,,
3146,1,3146,,42010180,,3148,3148,,36598375,,
5433,1,5433,,12010630,,5439,5439,,41985125,,
5439,1,5439,,12010630,,7310,7310,,68832875,,
5470,1,5470,,13010460,,5474,5474,,69001975,,
3148,1,3148,,42010180,,3149,3149,,2889050,,
3149,1,3149,,42010180,,3162,3162,,4881925,,
3162,1,3162,,42010180,,3168,3168,,92233583.04743944,13708585.85997931,
3168,1,3168,,42010180,,7190,7190,,56152200,,
3178,1,3178,,10010240,,3182,3182,,6666450,,
3182,1,3182,,10010240,,3188,3187,,42071975,,
3188,2,3188,,10010240,10050030,3191,3191,,13555725,,
5474,1,5474,,13010460,,5480,5477,,52893175,,
5480,2,5480,,13010460,13050062,5481,5481,,15502400,,
3513,2,3513,,30010610,30050140,3520,3520,,2169775,,
3520,1,3520,,30010610,,3524,3524,,57697325,,
3524,1,3524,,30010610,,20034,20034,,34101900,,
3570,1,3570,,12210317,,17497,17497,,53006375,,
3614,1,3614,,13011154,,16743,16743,,48508850,,
3642,1,3642,,13010773,,8709,8709,,43025925,,
3698,1,3698,,12011010,,3705,3705,,67690025,,
3705,1,3705,,12011010,,7355,7355,,64517175,,
3713,1,3713,,10012564,,10732,10732,,6776825,,
3717,1,3717,,10010276,,1225,3719,,7038073.456876898,67991512.85057864,
3722,1,3722,,42010652,,19086,19086,,8200975,,
3736,1,3736,,13010477,,5480,3735,,10191875,,
3748,1,3748,,13010795,,3753,3753,,89829200,,
3753,1,3753,,13010795,,3761,3761,,85721450,,
3761,1,3761,,13010795,,3763,3763,,49756225,,
3763,1,3763,,13010795,,3766,3766,,9961175,,
3766,2,3766,,13010795,13050171,8727,8727,,20326525,,
5561,1,5561,,12210640,,20628,5563,,43686275,,
5571,1,5571,,16011010,,5581,5581,,83078325,,
5581,1,5581,,16011010,,5584,5584,,86166725,,
5584,1,5584,,16011010,,11159,11159,,18232400,,
5592,2,5592,,10010284,10030110,1225,1224,,30724575,,
5634,1,5634,,12210450,,5644,5644,,107005775,,
5644,1,5644,,12210450,,5648,5648,,88299575,,
5648,1,5648,,12210450,,5652,5652,,73172175,,
5652,1,5652,,12210450,,5655,5655,,10723025,,
5655,1,5655,,12210450,,5663,5663,,30498275,,
5663,1,5663,,12210450,,5670,5670,,20719050,,
5670,1,5670,,12210450,,20612,20612,,74271825,,
5687,1,5687,,10011910,,13895,13895,,40341975,,
5741,1,5741,,10012620,,5750,5750,,52906175,,
5750,1,5750,,10012620,,5756,5756,,55616600,,
5756,1,5756,,10012620,,5763,5763,,70787925,,
3769,1,3769,,10010892,,12378,3771,,4302575,,
3831,1,3831,,16010161,,10548,10548,,63179900,,
5763,1,5763,,10012620,,5768,5768,,52791150,,
5768,1,5768,,10012620,,13964,13964,,48955975,,
5874,1,5874,,30010849,,9110,9110,,52118150,,
5916,1,5916,,41011287,,12470,12470,,33989000,,
5932,1,5932,,10010296,,5939,5939,,47271550,,
5939,1,5939,,10010296,,5942,5942,,42830950,,
5942,1,5942,,10010296,,5948,5948,,47856725,,
5948,2,5948,,10010296,10050030,3191,3191,,28906575,,
3833,1,3833,,12110048,,3834,3834,,3287975,,
6011,1,6011,,14010290,,6014,6014,,57706250,,
6014,1,6014,,14010290,,20482,20482,,33160325,,
6300,1,6300,,12010290,,7270,7270,,462175,,
6318,1,6318,,42010192,,3162,3162,,42679135.414600976,34864956.521546125,
6334,1,6334,,12211130,,6336,6336,,83674150,,
3834,1,3834,,12110048,,12382,12382,,3913375,,
3889,1,3889,,30010743,,3892,3892,,54352475,,
3892,1,3892,,30010743,,3893,3893,,26182500,,
6297,1,6297,,12010290,,6300,6300,,38957150,,
6336,1,6336,,12211130,,6339,6338,,67057375,,
6339,1,6339,,12211130,,6343,6343,,33682325,,
6343,1,6343,,12211130,,20669,20669,,37659875,,
6348,1,6348,,12010954,,18202,18202,,8312275,,
6394,1,6394,,41010850,,6397,6397,,56353100,,
6397,1,6397,,41010850,,6402,6402,,24442100,,
3893,2,3893,,30010743,30040060,4411,4411,,987150,,
3901,1,3901,,15010762,,16542,16542,,42176650,,
3929,1,3929,,42010186,,3149,3149,,50743904.5557265,1565268.6663435227,
3940,1,3940,,10012201,,3947,3947,,63205075,,
3947,1,3947,,10012201,,3952,3952,,25285925,,
3952,2,3952,,10012201,10050492,12997,12997,,82675,,
3960,2,3960,,10010252,10030041,3961,3961,,10355150,,
6402,2,6402,,41010850,41050100,6405,6405,,52755700,,
6405,2,6405,,41010850,41050100,6408,6407,,30901875,,
6408,1,6408,,41010850,,6414,6414,,5286700,,
6414,1,6414,,41010850,,6420,6420,,38134500,,
6420,1,6420,,41010850,,6421,6421,,17448375,,
6421,1,6421,,41010850,,6429,6429,,6018725,,
6429,1,6429,,41010850,,6437,6437,,39602275,,
6437,1,6437,,41010850,,1001112,1001112,,85280750,,
6453,1,6453,,41010850,,6458,6458,,66186863.00408167,,
6458,1,6458,,41010850,,6461,6461,,26440700,,
